accession,prop_value
NCT00964977:I.1005,"radical resection of the tumor within adequate resection margins (R0)"
NCT00964977:I.1006,"written informed consent from the patient"
NCT00964977:I.1007,"adequate performance status ECOG Index<= 2"
NCT00964977:I.2001,"age<18 years"
NCT00964977:I.2002,"pregnant women"
NCT00964977:I.2003,"reported drug addiction"
NCT00964977:I.2004,"intake of remedies with potential influence on compliance or impaired judgment"
NCT00964977:I.2005,"patients with mental disorders or conceivable physical, familial or job related embarrassments which may preclude the patient to realize the study schedule"
NCT00964977:I.2006,"inadequate performance status ECOG Index>2"
NCT00967330:I.1001,"age 18 Years to 70 Years"
NCT00967330:I.1002,"Adult (person)"
NCT00967330:I.1003,"glioblastoma, confirmed histologically"
NCT00967330:I.1004,"no previous chemotherapy or radiotherapy for glioblastoma"
NCT00967330:I.1005,"non-methylated MGMT promoter in the tumor."
NCT00967330:I.2001,"prior systemic treatment for glioblastoma multiforme"
NCT00967330:I.2002,"prior treatment with Avastin"
NCT00967330:I.2003,"significant cardiovascular disease"
NCT00967330:I.2004,"other active malignant disease."
NCT00968708:I.1001,"age at least 18 Years"
NCT00968708:I.1002,"Diagnosis of type 2 diabetes mellitus"
NCT00968708:I.1003,"Subject is receiving monotherapy or combination antidiabetic therapy with a glycosylated hemoglobin level between 6.5% and 11.0%, inclusive, at Screening (between 7.0 and 11.0%, inclusive, if the subject's antidiabetic regimen includes insulin)"
NCT00968708:I.1004,"Diagnosis of acute coronary syndrome within 15 to 90 days prior to randomization"
NCT00968708:I.2001,"Signs of type 1 diabetes mellitus"
NCT00968708:I.2002,"Currently receiving a glucagon-like peptide-1 analogue for glycemic control of type 2 diabetes mellitus at Screening"
NCT00968708:I.2003,"Received a dipeptidyl peptidase-4 inhibitor for either more than 14 days total or within the 3 months prior to Screening"
NCT00974311:I.1001,"age at least 18 Years"
NCT00974311:I.1002,"Progressive prostate cancer"
NCT00974311:I.1003,"Medical or surgical castration with testosterone<50 ng/dl"
NCT00974311:I.1004,"One or two prior chemotherapy regimens. At least one chemotherapy regimen must have contained docetaxel"
NCT00974311:I.1005,"ECOG performance status 0-2"
NCT00974311:I.1006,"Adequate bone marrow, hepatic, and renal function"
NCT00974311:I.1007,"Able to swallow the study drug and comply with study requirements"
NCT00974311:I.1008,"Informed Consent"
NCT00974311:I.2001,"Metastases in the brain or active epidural disease"
NCT00974311:I.2002,"Another malignancy within the previous 5 years"
NCT00974311:I.2003,"Clinically significant cardiovascular disease"
NCT00974311:I.2004,"GI disorder affecting absorption"
NCT00974740:I.1001,"age 18 Years to 39 Years"
NCT00974740:I.1002,"Insulin treated patients with a newly diagnosed type 1 diabetes mellitus as defined by the ADA criteria at least two weeks but not later than 3 months after start of insulin treatment"
NCT00974740:I.1003,"Male patient or female patient using adequate contraceptive methods"
NCT00974740:I.1004,"Tested positive for at least one of the three islet autoantibodies GAD65, IA2 or ICA"
NCT00974740:I.2001,"History of neoplastic disease"
NCT00974740:I.2002,"Presence of a clinically significant hepatic or renal disease, as indicated, but not limited to a serum creatinine elevated>ten percent above the upper limit of normal, elevation of AST or ALT>3 times the upper limit of normal"
NCT00974740:I.2003,"Any other acute or chronic condition that may affect the patient's response to treatment or might be associated with an increased risk for the patient to participate, as judged by the investigator"
NCT00974740:I.2004,"Current use of anti-inflammatory or immunomodulatory drugs, antihypertensive, lipid-lowering, or antidiabetic drugs other than insulin"
NCT00974740:I.2005,"Pregnant or nursing women or women intending to become pregnant"
NCT00974740:I.2006,"Known or suspected allergy to atorvastatin or any component of the trial product"
NCT00974740:I.2007,"Known myopathy, myalgia or myositis with a serum-CPK>3 times the upper limit of normal"
NCT00974740:I.2008,"Patients who had a severe blood loss (>= 400 mL, e.g. blood donation) within 2 months prior to visit 2"
NCT00974740:I.2009,"Any significant laboratory abnormality"
NCT00974740:I.2010,"A serum LDL-cholesterol>150 mg/dL at time of screening"
NCT00974740:I.2011,"Unwillingness to comply with study procedures"
NCT00979420:I.1001,"age at least 18 Years"
NCT00979420:I.1002,"HIV Infections"
NCT00979420:I.1003,"The inclusion criteria for treatment with Viramune plus other antiretroviral combination drugs are to be based on the current Information for Healthcare Professionals/SPC (R08-0843)."
NCT00979420:I.2001,"The exclusion criteria for treatment with Viramune plus other antiretroviral combination drugs are to be based on the current Information for Healthcare Professionals/SPC (R08-0843)."
NCT00980135:I.1001,"age 18 Years to 65 Years"
NCT00980135:I.1002,"Male or female Caucasians aged between 18 and 65 years"
NCT00980135:I.1003,"Patients with mild AD presenting a scoring AD (SCORAD) rating between 3-25"
NCT00980135:I.1004,"Skin type I - IV according to Fitzpatrick"
NCT00980135:I.1005,"Acute AD symptoms on each assessment areas (local SCORAD>/=3 and<= 12)"
NCT00980135:I.1006,"Acute symptom of pruritus at Baseline"
NCT00980135:I.2001,"Any other skin disease at the test area that would interfere the clinical assessment in the opinion of the investigator"
NCT00980135:I.2002,"Moles, tattoos, strong pigmentation, or scars at the test area that would interfere the clinical assessment"
NCT00980135:I.2003,"Regular intake of antiphlogistic drugs (for example, NSAIDs)"
NCT00980135:I.2004,"Any condition or treatment which might influence the trial (e.g. any treatment with topical antibiotics, antifungals, or corticoids) within 14 days prior to screening as well as during the trial (exception: topical treatment of AD lesions other than the test areas (for example, face) with low potency steroids restricted to small areas)"
NCT00980135:I.2005,"UV-therapy or the use of solarium within 30 days before screening as well as during the trial"
NCT00980135:I.2006,"Any alternative treatment of AD (e.g. acupuncture, kinesiology, and homoeopathy) within 30 days before screening as well as during the trial"
NCT00980629:I.1001,"age 18 Years to 65 Years"
NCT00980629:I.1002,"Male or female patients (aged 18-65 years) with a diagnosis of AD."
NCT00980629:I.1003,"Female patients of child bearing potential must be using a medically acceptable form of contraception."
NCT00980629:I.1004,"Patients who are able and willing to give signed informed consent."
NCT00980629:I.1005,"Patients who have pruritus exceed the reference range."
NCT00980629:I.2001,"Patients who have a history of allergy to hydrocortisone."
NCT00980629:I.2002,"Patients who have a history of relevant drug hypersensitivity."
NCT00980629:I.2003,"Patients who have a history of contact dermatitis induced by a topical steroid."
NCT00980629:I.2004,"Patients who are taking, and who are unwilling not to take, any medications or therapy prohibited by the protocol for the complete duration of the study."
NCT00980629:I.2005,"Malignant Neoplasms"
NCT00980629:I.2006,"Patients who have any renal or liver insufficiency, or clinically significant cardiac, renal or hepatic disease."
NCT00980629:I.2007,"Patients who, in the opinion of the investigator, are not deemed eligible as determined by medical history, physical examination or clinical laboratory safety tests."
NCT00980629:I.2008,"Patients who have pruritus associated with conditions other than AD."
NCT00980629:I.2009,"Patients who have pruritus only on the face and head."
NCT00980629:I.2010,"Patients who, in the opinion of the investigator, have clinically relevant history or presence of any disease, or surgical history other than AD which is likely to affect the conduct of the study."
NCT00980629:I.2011,"Patients who have used M5161(active ingredient of M516102)."
NCT00980629:I.2012,"Patients who cannot communicate reliably with the investigator."
NCT00980629:I.2013,"Patients who are pregnant or lactating."
NCT00980629:I.2014,"Patients who have used any IMP and/or participated in any clinical trial within 3 months."
NCT00981058:I.1001,"age at least 18 Years"
NCT00981058:I.1002,"Has histologically or cytologically confirmed squamous NSCLC."
NCT00981058:I.1003,"Has Stage IV disease at the time of study entry."
NCT00981058:I.1004,"Measurable or nonmeasurable disease at the time of study entry as defined by the Response Evaluation Criteria in Solid Tumors (RECIST 1.0) (patients with only truly nonmeasurable disease are not eligible)."
NCT00981058:I.1005,"Has resolution to Grade<= 1 of all clinically significant toxic effects of prior chemotherapy, surgery, radiotherapy, or hormonal therapy (with the exception of alopecia)."
NCT00981058:I.1006,"Has adequate hepatic function"
NCT00981058:I.1007,"Has adequate renal function"
NCT00981058:I.1008,"Has adequate hematologic function"
NCT00981058:I.1009,"If female, is surgically sterile, postmenopausal, or compliant with a highly effective contraceptive method (failure rate<1%) during and for 6 months after the treatment period (oral hormonal contraception alone is not considered highly effective and must be used in combination with a barrier method)."
NCT00981058:I.1010,"If male, the patient is surgically sterile or compliant with a highly effective contraceptive regimen during and for 6 months after the treatment period."
NCT00981058:I.1011,"Female patients of childbearing potential must have a negative serum pregnancy test within 7 days prior to randomization."
NCT00981058:I.1012,"Has archived tumor tissue available for analysis of EGFR and KRAS mutation status (by PCR) and EGFR gene copy number (by FISH). Minimum of four slides, paraffin-embedded tissue, required."
NCT00981058:I.2001,"Has nonsquamous NSCLC (adenocarcinoma/large cell or other)."
NCT00981058:I.2002,"Has received prior anticancer therapy with monoclonal antibodies, signal transduction inhibitors, or any therapies targeting the EGFR, vascular endothelial growth factor (VEGF), or VEGF receptor."
NCT00981058:I.2003,"Has received previous chemotherapy for advanced NSCLC (patients who have received adjuvant chemotherapy are eligible if the last administration of the prior adjuvant regimen occurred at least 1 year prior to randomization)."
NCT00981058:I.2004,"Has undergone major surgery or received any investigational therapy in the 4 weeks prior to randomization."
NCT00981058:I.2005,"Has undergone chest irradiation within 12 weeks prior to randomization (except palliative irradiation of bone lesions, which is allowed)."
NCT00981058:I.2006,"Has brain metastases that are symptomatic or require ongoing treatment with steroids or anticonvulsants. Patients who have undergone previous radiotherapy for brain metastases, who are now nonsymptomatic and no longer require treatment with steroids or anticonvulsants, are eligible."
NCT00981058:I.2007,"Has superior vena cava syndrome contraindicating hydration."
NCT00981058:I.2008,"Has current clinically-relevant coronary artery disease or uncontrolled congestive heart failure."
NCT00981058:I.2009,"Has experienced myocardial infarction within 6 months prior to randomization."
NCT00981058:I.2010,"Has an ongoing or active infection (requiring antibiotics), including active tuberculosis or known infection with the human immunodeficiency virus."
NCT00981058:I.2011,"Has a history of significant neurological or psychiatric disorders, including dementia, seizures, or bipolar disorder."
NCT00981058:I.2012,"Has any NCI-CTCAE Version 3.0 Grade>= 2 peripheral neuropathy."
NCT00981058:I.2013,"Has significant third space fluid retention, requiring repeated drainage."
NCT00981058:I.2014,"Has any other serious uncontrolled medical disorders or psychological conditions that would, in the opinion of the investigator, limit the patient's ability to complete the study or sign an informed consent document."
NCT00981058:I.2015,"Has a known allergy / history of hypersensitivity reaction to any of the treatment components, including any ingredient used in the formulation of necitumumab (IMC-11F8), or any other contraindication to one of the administered treatments."
NCT00981058:I.2016,"Is pregnant or breastfeeding."
NCT00981058:I.2017,"History of substance abuse"
NCT00981058:I.2018,"Has a concurrent active malignancy other than adequately-treated basal cell carcinoma of the skin or preinvasive carcinoma of the cervix. A patient with previous history of malignancy other than NSCLC is eligible, provided that he/she has been free of disease for>= 3 years."
NCT00982111:I.1001,"age at least 18 Years"
NCT00982111:I.1002,"Has histologically or cytologically confirmed nonsquamous (adenocarcinoma/large cell or other) non small cell lung cancer."
NCT00982111:I.1003,"Has Stage IV disease at the time of study entry."
NCT00982111:I.1004,"Measurable or nonmeasurable disease (as defined by the Response Evaluation Criteria in Solid Tumors RECIST 1.0) at the time of study entry (patients with only truly nonmeasurable disease are not eligible)."
NCT00982111:I.1005,"Has resolution to Grade<= 1 of all clinically significant toxic effects of prior chemotherapy, surgery, radiotherapy, or hormonal therapy (with the exception of alopecia)."
NCT00982111:I.1006,"Has an Eastern Cooperative Oncology Group performance status score of 0-2."
NCT00982111:I.1007,"Has adequate hepatic function"
NCT00982111:I.1008,"Has adequate renal function"
NCT00982111:I.1009,"Has adequate hematologic function"
NCT00982111:I.1010,"If female, is surgically sterile, postmenopausal, or compliant with a highly effective contraceptive method during and for 6 months after the treatment period (oral hormonal contraception alone is not considered highly effective and must be used in combination with a barrier method). If male, the patients surgically sterile or compliant with a highly effective contraceptive regimen during and for 6 months after the treatment period."
NCT00982111:I.1011,"Female patients of childbearing potential must have a negative serum"
NCT00982111:I.2001,"Has squamous non small cell lung cancer."
NCT00982111:I.2002,"Has received prior anticancer therapy with monoclonal antibodies, signal transduction inhibitors, or any therapies targeting the EGFR, vascular endothelial growth factor (VEGF), or VEGF receptor."
NCT00982111:I.2003,"Received previous chemotherapy for advanced NSCLC (patients who have received adjuvant chemotherapy are eligible if the last administration of the prior adjuvant regimen occurred at least 1 year prior to randomization)."
NCT00982111:I.2004,"Undergone major surgery or received any investigational therapy in the 4 weeks prior to randomization."
NCT00982111:I.2005,"Undergone chest irradiation within 12 weeks prior to randomization (except palliative irradiation of bone lesions, which is allowed)."
NCT00982111:I.2006,"Has brain metastases that are symptomatic or require ongoing treatment with steroids or anticonvulsants. Patients who have undergone previous radiotherapy for brain metastases, who are now nonsymptomatic and no longer require treatment with steroids or anticonvulsants, are eligible."
NCT00982111:I.2007,"Has superior vena cava syndrome contraindicating hydration."
NCT00982111:I.2008,"Has current clinically-relevant coronary artery disease or uncontrolled congestive heart failure"
NCT00982111:I.2009,"Has experienced myocardial infarction within 6 months prior to randomization."
NCT00982111:I.2010,"Has an ongoing or active infection (requiring antibiotics), including active tuberculosis or known infection with the human immunodeficiency virus."
NCT00982111:I.2011,"Has a history of significant neurological or psychiatric disorders, including dementia, seizures, or bipolar disorder, potentially precluding protocol compliance."
NCT00982111:I.2012,"Has Grade>= 2 peripheral neuropathy."
NCT00982111:I.2013,"Has significant third space fluid retention, requiring repeated drainage."
NCT00982111:I.2014,"Has any other serious uncontrolled medical disorders or psychological conditions that would, in the opinion of the investigator, limit the patient's ability to complete the study or sign an informed consent document."
NCT00982111:I.2015,"The patient has a known allergy / history of hypersensitivity reaction to any of the treatment components, including any ingredient used in the formulation of IMC-11F8, or any other contraindication to one of the administered treatments."
NCT00982111:I.2016,"Is pregnant or breastfeeding."
NCT00982111:I.2017,"History of substance abuse"
NCT00982111:I.2018,"Has a concurrent active malignancy other than adequately-treated basal cell carcinoma of the skin or preinvasive carcinoma of the cervix. A patient with previous history of malignancy other than NSCLC is eligible, provided that he/she has been free of disease for>= 3 years."
NCT00983138:I.1001,"age up to 364 Days"
NCT00983138:I.1002,"Previously untreated T-lineage or precursor B-lineage ALL or biphenotypic leukaemia according to EGIL criteria."
NCT00983138:I.1003,"Morphological verification of the diagnosis, confirmed with cyto-chemistry and immunophenotyping."
NCT00983138:I.1004,"Written informed consent of the parents or other legally authorised guardian of the patient."
NCT00983138:I.1005,"Treatment according to protocol INTERFANT 06"
NCT00983138:I.2001,"Mature B-lineage ALL, defined by the immunophenotypical presence of surface immunoglobulins or t(8;14) and breakpoint as in B-ALL."
NCT00983138:I.2002,"The presence of the t(9;22)(q34;q11) or bcr-abl fusion in the leukaemic cells."
NCT00983138:I.2003,"Systemic use of corticosteroids<4 weeks before diagnosis. Patients who received corticosteroids by aerosol are eligible."
NCT00983138:I.2004,"Known allergy to any ASNase preparation."
NCT00983138:I.2005,"Pre-existing known coagulopathy (e.g. haemophilia)."
NCT00983138:I.2006,"Pre-existing pancreatitis."
NCT00983138:I.2007,"Liver insufficiency (bilirubin>50 micromol/L, SGOT/SGPT>10 x the upper limit of normal)."
NCT00984867:I.1001,"age at least 18 Years"
NCT00984867:I.1002,"Patients with type 2 diabetes"
NCT00984867:I.1003,"Patients who are not receiving treatment , or those who currently receive metformin, sitagliptin or vildagliptin or the combination of these"
NCT00984867:I.1004,"Patients will be screened by a blood test and only those who need additional therapy can be enrolled"
NCT00984867:I.2001,"Diabetes Mellitus, Insulin-Dependent"
NCT00984867:I.2002,"Diabetes mellitus poor control"
NCT00984867:I.2003,"Any clinically significant illness, which in the judgement of the investigator would compromise the patient's safety or successful participation in the clinical study"
NCT00985712:I.1001,"age at least 8 Years"
NCT00985712:I.1002,"Type 1 diabetes mellitus"
NCT00985712:I.1003,"receiving at least 3 prandial injections per day with short-acting or analogue insulin"
NCT00985712:I.2001,"Insulin pump therapy"
NCT00985712:I.2002,"receiving pre-mixed insulin preparations"
NCT00987636:I.1001,"age 48 Months to 50 Years"
NCT00987636:I.1002,"Diagnosis: Histologically confirmed Ewing sarcoma of bone or soft tissue."
NCT00987636:I.1003,"Age and sex: Either sex, age>48 months (for GPOH patients) and<50 years at the date of diagnostic biopsy. Younger or elderly patients may be reported to the appropriate office (see section 1.4) but are not included in this study."
NCT00987636:I.1004,"Registration:<= 45 days after diagnostic biopsy/surgery."
NCT00987636:I.1005,"Start of chemotherapy:<= 45 days after diagnostic biopsy/surgery."
NCT00987636:I.1006,"Informed consent: Must be signed prior to study entry."
NCT00987636:I.1007,"Performance status: Lansky or Karnofsky score>50%, may be modified for handicapped patients."
NCT00987636:I.1008,"Haematological parameters:"
NCT00987636:I.1009,"Haemoglobin>8 g/dl (transfusion allowed),"
NCT00987636:I.1010,"Platelets>80.000/nicrol (transfusion allowed),"
NCT00987636:I.1011,"Leukocyte, WBC - White blood cell"
NCT00987636:I.1012,"Cardiac values: LVEF>40%, SF>28%."
NCT00987636:I.2001,">one cycle of other chemotherapy prior to registration"
NCT00987636:I.2002,"Neoplasms, Second Primary"
NCT00987636:I.2003,"Pregnancy and lactation"
NCT00987636:I.2004,"Concurrent treatment within any other clinical trial, except trials with different endpoints that due to the nature of their endpoints must run parallel to EWING 2008 e.g. trials on antiemetics, antimycotics, antibiotics, strategies for psychosocial support, etc..."
NCT00987636:I.2005,"Any other medical, psychiatric, or social condition incompatible with protocol treatment"
NCT00989261:I.1001,"age 18 Years to 85 Years"
NCT00989261:I.1002,"Males and females age ?18 years in second relapse or refractory."
NCT00989261:I.1003,"Males and females age ?60 years in first relapse or refractory."
NCT00989261:I.1004,"Must have baseline bone marrow sample taken."
NCT00989261:I.1005,"Morphologically documented primary AML or AML secondary to myelodysplastic syndrome (MDS with ?20% bone marrow or peripheral blasts), as defined by the World Health Organization (WHO) criteria, confirmed by pathology review at treating institution."
NCT00989261:I.1006,"Able to swallow the liquid study drug."
NCT00989261:I.1007,"ECOG performance status of 0 to 2"
NCT00989261:I.1008,"In the absence of rapidly progressing disease, the interval from prior treatment to time of AC220 administration will be at least 2 weeks for cytotoxic agents or at least 5 half-lives for noncytotoxic agents. The use of chemotherapeutic or antileukemic agents other than hydroxyurea is not permitted during the study with the possible exception of intrathecal (IT) therapy at the discretion of the Investigator and with the agreement of the Sponsor."
NCT00989261:I.1009,"Persistent chronic clinically significant non-hematological toxicities from prior treatment must be<= Grade 1."
NCT00989261:I.1010,"Prior therapy with FLT3 inhibitors is permitted, except previous treatment with AC220."
NCT00989261:I.1011,"Serum creatinine ?1.5 × ULN and glomerular filtration rate (GFR)>30 mL/min"
NCT00989261:I.1012,"Serum potassium, magnesium, and calcium levels should be at least within institutional normal limits."
NCT00989261:I.1013,"Total serum bilirubin ?1.5 × ULN"
NCT00989261:I.1014,"Serum aspartate transaminase (AST) and/or alanine transaminase (ALT) ?2.5 × ULN"
NCT00989261:I.1015,"Females of childbearing potential must have a negative pregnancy test (urine ?-hCG)."
NCT00989261:I.1016,"Females of childbearing potential and sexually mature males must agree to use a medically accepted method of contraception throughout the study."
NCT00989261:I.1017,"Procurement of patient informed consent, investigational study"
NCT00989261:I.2001,"Patients over the age of 85 years except at the discretion of the Investigator and with agreement of the Sponsor."
NCT00989261:I.2002,"Diagnosis of acute promyelocytic leukemia"
NCT00989261:I.2003,"Diagnosis of chronic myelogenous leukemia (CML) in blast crisis"
NCT00989261:I.2004,"AML in relapse or refractory after 3 or more previous lines of chemotherapy (and/or HSCT) treatment"
NCT00989261:I.2005,"AML or antecedent MDS secondary to prior chemotherapy"
NCT00989261:I.2006,"Persistent clinically significant non-hematological toxicity that is Grade>1 by NCI CTCAE v4 from prior chemotherapy"
NCT00989261:I.2007,"Patients who have had HSCT and are within 100 days of transplant and/or are still taking immunosuppressive drugs and/or have clinically significant graft-versus-host disease requiring treatment and/or have>Grade 1 persistent non hematological toxicity related to the transplant"
NCT00989261:I.2008,"Clinically active central nervous system (CNS) leukemia. Patients with CNS leukemia, which is controlled, but who are still receiving IT therapy at study entry may be considered eligible and continue receive IT therapy at the discretion of the Investigator and with agreement of the Sponsor."
NCT00989261:I.2009,"Patients who have previously received AC220"
NCT00989261:I.2010,"Disseminated intravascular coagulation (DIC) (diagnosis by laboratory or clinical assessment)"
NCT00989261:I.2011,"Major surgery within 4 weeks prior to enrollment in the study"
NCT00989261:I.2012,"Radiation therapy within 4 weeks prior to, or concurrent with study"
NCT00989261:I.2013,"Use of concomitant drugs that prolong QT/QTc interval and/or are CYP3A4 inhibitors are prohibited with the exception of antibiotics, antifungals, and other antimicrobials that are used as standard of care to prevent or treat infections and other such drugs that are considered absolutely essential for the care of the patient."
NCT00989261:I.2014,"Uncontrolled or significant cardiovascular disease"
NCT00989261:I.2015,"Women who are pregnant, lactating, or unwilling to use contraception if of childbearing potential"
NCT00989261:I.2016,"Men who are unwilling to use contraception if their partners are of childbearing potential"
NCT00989261:I.2017,"Active, uncontrolled infection"
NCT00989261:I.2018,"HIV Seropositivity"
NCT00989261:I.2019,"Active hepatitis B or C or other active liver disease"
NCT00989261:I.2020,"History of cancer, except Stage 1 cervix or nonmelanotic skin cancer, with the possible exception of patients in complete remission"
NCT00993473:I.1001,"age 1 Year to 6 Years"
NCT00993473:I.1002,"Pediatric patients with type 1 diabetes mellitus aged>= one year to<6 years at screening, for whom signed written informed consent has been obtained from parent or legal guardian to participate in the study"
NCT00993473:I.2001,"Diagnosis of type 1 diabetes for<one year"
NCT00993473:I.2002,"HbA1c at screening>12% or<6%"
NCT00993473:I.2003,"Diabetes other than type 1 diabetes"
NCT00993473:I.2004,"Parents and patients not willing to undergo all study assessments and treatments, including home blood glucose monitoring, Continuous Glucose Monitoring System (CGMS) sensor placement and maintenance both at the site and at home, multiple daily insulin injections, and visits, as dictated by the protocol (if a telephone is not available patients may undergo all visits in person)"
NCT00993473:I.2005,"Patients and families for whom 6 days in total (not necessarily continuous) of useable CGMS data cannot be obtained (either by home sensor replacement, or by sensor replacement at the site at additional screening visits if needed) during the screening CGMS evaluations between Visit 2 and the randomization visit"
NCT00993473:I.2006,"Patients treated with insulin pump therapy during the two months prior to screening"
NCT00993473:I.2007,"History of primary seizure disorder"
NCT00993473:I.2008,"History of severe hypoglycemic episode accompanied by seizure and/or coma, or diabetic ketoacidosis leading to hospitalization or to care in the emergency ward, in the 2 months prior to the screening visit"
NCT00993473:I.2009,"Need for chronic treatment with acetaminophen (paracetamol)-containing medications"
NCT00993473:I.2010,"Serum creatinine>2.0mg/dL at screening"
NCT00993473:I.2011,"Serum ALT or AST>3x upper limit of normal for the patient's age and gender, at screening"
NCT00993473:I.2012,"Hemoglobin<10g/dL, or platelet count<100,000/cu mm, at screening"
NCT00993473:I.2013,"Treatment with any pharmacologic anti-hyperglycemic oral agent for>3 months at any time"
NCT00993473:I.2014,"Treatment with any non-insulin antihyperglycemic medication (eg, Symlin) for the 3 months prior to screening"
NCT00993473:I.2015,"Treatment with systemic glucocorticoids within the month prior to screening"
NCT00997230:I.1001,"age at least 18 Years"
NCT00997230:I.1002,"Histologically confirmed locally advanced or metastatic NSCLC (stage IIIB/IV). Mixed histology of small cell and non-small cell lung cancer"
NCT01011205:I.1001,"age at least 18 Years"
NCT01011205:I.1002,"Undergoing orthotopic liver or split liver allograft transplantation"
NCT01011205:I.1003,"Female subject of childbearing potential must have a negative serum or urine pregnancy test at enrollment and must agree to maintain effective birth control during the study"
NCT01011205:I.2001,"Receiving a multi-organ transplant or having previous received an organ transplant (including liver re-transplantation)"
NCT01011205:I.2002,"Receiving an auxiliary graft or in whom a bio-artificial liver (cell system) has been used"
NCT01011205:I.2003,"Receiving ABO incompatible graft or a graft from a non heart beating donor"
NCT01011205:I.2004,"Ongoing dosing with systemic corticosteroids"
NCT01011205:I.2005,"Subjects with systemic infection requiring treatment except viral hepatitis"
NCT01011205:I.2006,"Diagnosis of new-onset malignancy prior to transplantation, with the exception of basocellular or squamous cell carcinoma of the skin which had been treated successfully. However, subjects with primary liver carcinoma can be included if they meet the following criteria:"
NCT01011205:I.2007,"<3 nodes"
NCT01011205:I.2008,"no node larger than 5 cm"
NCT01011205:I.2009,"No metastases (tumor staging)"
NCT01011205:I.2010,"Vascular invasion by tumor absent"
NCT01011205:I.2011,"Significant, uncontrolled concomitant infections and/or severe diarrhea, vomiting, active upper gastro-intestinal tract malabsorption or active peptic ulcer"
NCT01011205:I.2012,"Subject or donor known to be HIV positive"
NCT01011205:I.2013,"Known allergy or intolerance to tacrolimus, macrolide antibiotics, corticosteroids, basiliximab or mycophenolate mofetil or any of the product excipients"
NCT01011205:I.2014,"Pregnant woman or breast-feeding mother"
NCT01011205:I.2015,"Currently participating in another clinical trial, and/or has taken an investigational drug within 28 days prior to enrollment"
NCT01011205:I.2016,"Unlikely to comply with the Visits scheduled in the protocol"
NCT01011205:I.2017,"Any unstable medical condition that could interfere with the study objectives in the opinion of the Investigator"
NCT01011205:I.2018,"Receiving prohibited concomitant therapy, or received prohibited concomitant therapy within 28 days prior to enrollment"
NCT01011205:I.2019,"Any form of substance abuse, psychiatric disorder or condition which, in the opinion of the Investigator, may complicate communication with the Investigator"
NCT01011738:I.1001,"age at least 18 Years"
NCT01011738:I.1002,"Adult (person)"
NCT01011738:I.1003,"chronic hepatitis B"
NCT01011738:I.1004,"treatment with peginterferon alfa-2A"
NCT01011738:I.2001,"coinfection with HAV, HCV and HIV"
NCT01012973:I.1001,"age at least 18 Years"
NCT01012973:I.1002,"Center-involved macular edema secondary to central retinal vein occlusion (CRVO) for no longer than 9 months with mean central subfield thickness>= 250 microm on optical coherence tomography (OCT)"
NCT01012973:I.1003,"Adult (person)"
NCT01012973:I.1004,"Early treatment diabetic retinopathy study (ETDRS) best corrected visual acuity (BCVA) of 20/40 to 20/320 (73 to 24 letters) in the study eye"
NCT01012973:I.2001,"Any prior treatment with anti-VEGF agents in the study eye (Pegaptanib sodium, anecortave acetate, bevacizumab, ranibizumab, etc.) or previous administration of systemic anti-angiogenic medications"
NCT01012973:I.2002,"Prior panretinal laser photocoagulation or macular laser photocoagulation in the study eye"
NCT01012973:I.2003,"CRVO disease duration>9 months from date of diagnosis"
NCT01012973:I.2004,"Previous use of intraocular corticosteroids in the study eye or use of periocular corticosteroids in the study eye within the 3 months prior to Day 1"
NCT01012973:I.2005,"Iris neovascularization, vitreous hemorrhage, traction retinal detachment, or preretinal fibrosis involving the macula in either the study eye or fellow eye"
NCT01016275:I.1001,"age at least 18 Years"
NCT01016275:I.1002,"Patient presenting with a stenotic or occlusive lesion at the iliac arteries suitable for stenting (on indication for primary stenting, based on the discretion of the investigator)"
NCT01016275:I.1003,"Patient presenting a score from 2 to 5 following Rutherford classification"
NCT01016275:I.1004,"Patient is willing to comply with specified follow-up evaluations at the specified times for the duration of the study"
NCT01016275:I.1005,"Patient (or their legal representative) understands the nature of the procedure and provides written informed consent, prior to enrolment in the study"
NCT01016275:I.1006,"Patient is eligible for treatment with the Misago (Terumo)"
NCT01016275:I.1007,"The target lesion is either a modified TASC-II class A or B lesion with one of the listed specifications:"
NCT01016275:I.1008,"Type A lesions"
NCT01016275:I.1009,"Unilateral or bilateral stenoses of the Common Iliac Artery"
NCT01016275:I.1010,"Unilateral or bilateral single short (<=3 cm) stenosis of the External Iliac  Artery"
NCT01016275:I.1011,"Type B lesions"
NCT01016275:I.1012,"Unilateral Common Iliac Artery occlusion"
NCT01016275:I.1013,"Single or multiple stenosis totaling 3-10 cm involving the External Iliac  Artery not extending into the Common Femoral Artery"
NCT01016275:I.1014,"Unilateral External Iliac Artery occlusion not involving the origins of  Internal Iliac Artery or Common Iliac Artery"
NCT01016275:I.1015,"The target lesion has angiographic evidence of stenosis or restenosis>50% or occlusion which can be passed with standard guidewire manipulation"
NCT01016275:I.1016,"There is angiographic evidence of a patent Common an Deep Femoral Artery"
NCT01016275:I.2001,"The target lesion is either a modified TASC-II class B lesion with aortic lesion involvement:"
NCT01016275:I.2002,"Short (<=3 cm) stenosis of infrarenal aorta"
NCT01016275:I.2003,"The target lesion is either a modified TASC-II class C or D lesion with aortic lesion involvement:"
NCT01016275:I.2004,"Presence of aneurysm at the level of the iliac arteries"
NCT01016275:I.2005,"Previously implanted stent(s) at the same lesion site"
